Study_ID,Título,Etapa,Critério aplicado,Decisão,Justificativa,Timestamp
RSUQ3Y6M,Research Into Satisfaction With Industrial Heritage Renewal Based on the SEM-IPA Model: A Case Study of the Dongguan Jianyuzhou Park,,IRRELEVANTE,Excluído,,2025-07-05 19:35:51
YTXVQCLT,Big Trouble in Little Places: Understanding the Complexities of Place Micro-Brands,,IRRELEVANTE,Excluído,,2025-07-06 20:05:57
EML9Y5GP,Knowledge Discovery and Destination Market Intelligence Framework of the Maritime Trade Route Connecting Ancient Port Towns. - A Survey on Tamilnadu Cultural Route and Smart Heritage Tourism,,IRRELEVANTE,Excluído,,2025-07-06 19:45:35
R8USA74I,Digital Twin Application in Heritage Facilities Management: Systematic Literature Review and Future Development Directions,,COM_PDF,Incluído,,2025-07-17 18:29:17
RJPZ4U5F,Application of Smart Model in the Analysis of Opera Heritage Archiving and Protection,,IRRELEVANTE,Excluído,,2025-07-06 20:09:06
MTY33R34,Designing Immersive Narratives of Jugra Heritage Site for Cultural Edutainment Using Mixed Reality,,COM_PDF,Incluído,,2025-07-17 18:29:07
WSRGAR69,Digital Methodologies for Existing Buildings Emerging Education and Training for Professionals,,IRRELEVANTE,Excluído,,2025-07-06 19:59:27
LBMWPIPG,Mengembangkan Heritage Tourism Di Kota Denpasar Dengan Memanfaatkan Dokar Hias,,IDIOMA,Excluído,,2025-07-06 19:43:58
HWTGJG9Y,An Internet of Things Approach for Cultural Heritage Enhancement,,COM_PDF,Incluído,,2025-07-17 18:27:02
RL2EVUAB,Cultural Heritage Preservation by Using Blockchain Technologies,,COM_PDF,Incluído,,2025-07-17 18:29:00
KD3GQ9S2,RETRACTED ARTICLE: VR System Application in the Inheritance of Intangible Cultural Heritage Gongs and Drums Based on Video Simulation,,RETRATADO,Excluído,,2025-07-05 19:34:46
8RGCP6NA,Cultural Heritage in Smart City Environments: The Update,,COM_PDF,Incluído,,2025-07-17 18:28:56
R2CKINQ7,Virtual Roaming of Cultural Heritage Based on Image Processing,,NO_PDF,Incluído,,2025-07-07 22:34:27
AJJR4A78,Digital Twin Sensors in Cultural Heritage Ontology Applications,,COM_PDF,Incluído,,2025-07-17 18:29:18
T2S8P6PV,Systematic Literature Review of the Digital Transformation of Cultural Heritage Assets During the COVID-19 Pandemic,,COM_PDF,Incluído,,2025-07-17 18:30:55
GHM6EIIW,The Construction of Folk Sports Featured Towns Based on Intelligent Building Technology Based on the Internet of Things,,RETRATADO,Excluído,,2025-07-05 19:26:30
BJ9VNLJG,From 3D Point Cloud to an Intelligent Model Set for Cultural Heritage Conservation,,COM_PDF,Incluído,,2025-07-17 18:29:32
IINT8QBS,Smartphone Application for Support Library Operations in the Internet of Things Era,,IRRELEVANTE,Excluído,,2025-07-05 19:30:54
GY9ZB3CH,Hydria: An Online Data Lake for Multi-Faceted Analytics in the Cultural Heritage Domain,,COM_PDF,Incluído,,2025-07-17 18:29:43
ZCYVEXMX,AI-Enhanced Tools and Strategies for Airborne Disease Prevention in Cultural Heritage Sites,,COM_PDF,Incluído,,2025-07-17 18:26:56
Z3ZIWCSG,Using Modern Information and Communication Technologies to Support the Access to Cultural Values,,COM_PDF,Incluído,,2025-07-17 18:31:53
83VXDHR9,Emotional Reactions to the Perception of Risk in the Pompeii Archaeological Park,,IRRELEVANTE,Excluído,,2025-07-06 19:57:28
F2CIRX3R,Back to the Past: A Systematic Review of Immersive Narrative in Cultural Heritage Conservation,,IRRELEVANTE,Excluído,,2025-07-06 20:06:24
D4QJZRFZ,Bridging Past and Present: Cutting-Edge Technologies for Predictive Conservation of Built Cultural Heritage,,COM_PDF,Incluído,,2025-07-17 18:27:30
K8W7ALW8,A Cloud Computing Platform to Support Digital Heritage Application Using a Service-Oriented Approach,,COM_PDF,Incluído,,2025-07-17 18:26:33
93FS773J,Smart Tags: IoT Sensors for Monitoring the Micro-Climate of Cultural Heritage Monuments,,COM_PDF,Incluído,,2025-07-17 18:30:48
UDD8NX83,Joint Development of Cultural Heritage Protection and Tourism: The Case of Mount Lushan Cultural Landscape Heritage Site,,COM_PDF,Incluído,,2025-07-17 18:30:16
2UJY2522,Vrea Project - A Digital Curator for Architecture and Digital Perspectives for Heritage Management and Enhancement,,COM_PDF,Incluído,,2025-07-17 18:32:01
H39ES8XZ,Integrating User-Centered Design With the Agile Software Development Methodology for a Cultural Heritage Information System,,COM_PDF,Incluído,,2025-07-17 18:30:11
L5SQGYV2,Technologies for the Preservation of Cultural Heritage—A Systematic Review of the Literature,,COM_PDF,Incluído,,2025-07-17 18:30:56
7VSTBE28,"Cultural Heritage Preservation in the Digital Age, Harnessing Artificial Intelligence for the Future: A Bibliometric Analysis",,NO_PDF,Incluído,,2025-07-07 22:22:30
YNFY6DF4,Semantic Representation and Internet of Things in Cultural Heritage Preventive Conservation,,COM_PDF,Incluído,,2025-07-17 18:30:38
J8FICI5B,Site Experience Enhancement and Perspective in Cultural Heritage Fruition—A Survey on New Technologies and Methodologies Based on a “Four-Pillars” Approach,,COM_PDF,Incluído,,2025-07-17 18:30:39
TAB3RJZE,Spatial Distribution Characteristics and Accessibility Analysis in the Weibei Imperial Mausoleum Protection Zone Under the Hierarchical Clustering Algorithm,,COM_PDF,Incluído,,2025-07-17 18:30:50
ZDNP2Q3G,"A Systematic Literature Review of Gamification in/for Cultural Heritage: Leveling Up, Going Beyond",,COM_PDF,Incluído,,2025-07-17 18:26:49
CAK9JU2G,From Concept to Validation of a Wireless Environmental Sensor for the Integral Application of Preventive Conservation Methodologies in Low-Budget Museums,,IRRELEVANTE,Excluído,,2025-07-06 19:53:45
65CRNKDH,"Mapping the Knowledge Structure of Image Recognition in Cultural Heritage: A Scientometric Analysis Using CiteSpace, VOSviewer, and Bibliometrix",,COM_PDF,Incluído,,2025-07-17 18:30:21
BYT7DQUJ,Sanxingdui Cultural Relics Recognition Algorithm Based on Hyperspectral Multi-Network Fusion,,IRRELEVANTE,Excluído,,2025-07-05 19:33:54
4AXKVN4I,Efficient Music Analysis Mechanism Based on AI and IoT Data Mining,,IRRELEVANTE,Excluído,,2025-07-06 19:57:41
JIHCQT5V,Cultural Heritage Monitoring and Predictive Maintenance Using Internet of Things: Assessment and Future Aspects,,NO_PDF,Incluído,,2025-07-07 22:22:20
LWI3SYW6,Value Co‐creation in Cultural Heritage Information Practices: Literature Review and Future Agenda: An Annual Review of Information Science and Technology (ARIST) Paper,,NO_PDF,Incluído,,2025-07-07 22:33:28
3DKGVUDF,Individuality and the Collective in AI Agents: Explorations of Shared Consciousness and Digital Homunculi in the Metaverse for Cultural Heritage,,COM_PDF,Incluído,,2025-07-17 18:29:48
ZFSAMFLR,Sentiment and Emotional Analysis of Risk Perception in the Herculaneum Archaeological Park During COVID-19 Pandemic,,IRRELEVANTE,Excluído,,2025-07-05 19:33:30
XXJYIZQW,Data Evidence-Based Transformative Actions in Historic Urban Context—The Bologna University Area Case Study,,IRRELEVANTE,Excluído,,2025-07-06 20:01:27
SXASHETX,Intangible Cultural Heritage Management and Protection Based on Spatial Information Technology Under the Background of Internet of Things,,COM_PDF,Incluído,,2025-07-17 18:30:05
IBK7PK9Z,"Conservation and Enhancement of the Pietrabbondante Archaeological Site Between History, Geology and Emerging Crowd-Based Digital Technologies",,SEM APLICACAO,Excluído,,2025-07-06 20:03:52
LB3J9EN7,The Integration Mechanism of Music Intangible Cultural Heritage and Tourism Industry in the Internet of Things Environment,,RETRATADO,Excluído,,2025-07-05 19:23:28
SNQIMQUL,Application of the Internet of Things Technology in the Production and Dissemination of Intangible Cultural Heritage Micro-Documentaries,,COM_PDF,Incluído,,2025-07-17 18:27:09
65YD4HIB,Design and Implementation of Artwork Display System Based on Internet of Things Technology,,IRRELEVANTE,Excluído,,2025-07-06 20:01:06
R7SR67HX,Retracted: The Integration Mechanism of Music Intangible Cultural Heritage and Tourism Industry in the Internet of Things Environment,,RETRATADO,Excluído,,2025-07-05 19:34:45
WH2CFMD4,HeriLedger—A New Generation of Blockchains for Cultural Heritage Preservation,,COM_PDF,Incluído,,2025-07-17 18:29:37
KTA5PDBH,Developing a New Cultural Policy Agenda for Pistoia: The Current and Projected Role of Artists and Creative Workers in the Territory,,IRRELEVANTE,Excluído,,2025-07-06 20:00:13
XZLU6J2T,The Effectiveness of Digital Technologies Used for the Visitor’s Experience in Digital Museums. A Systematic Literature Review From the Last Two Decades,,COM_PDF,Incluído,,2025-07-17 18:31:09
PHVHW82K,An Efficient NoSQL-Based Storage Schema for Large-Scale Time Series Data,,IRRELEVANTE,Excluído,,2025-07-05 01:36:40
6IMKHPB8,Facilitating Semantic Interoperability of Trustworthy IoT Entities in Cultural Spaces: The Smart Museum Ontology,,COM_PDF,Incluído,,2025-07-17 18:29:29
XVAJBLIE,The Innovative Response of Cultural and Creative Industries to Major European Societal Challenges: Toward a Knowledge and Competence Base,,SEM APLICACAO,Excluído,,2025-07-05 19:23:41
SVIINQ4I,Context Awareness in Cultural Heritage Applications: A Survey,,NO_PDF,Incluído,,2025-07-07 22:21:20
NDFD82WT,The Early Japanese Books Reorganization by Combining Image Processing and Deep Learning,,SEM APLICACAO,Excluído,,2025-07-05 19:25:35
DC9M7E5N,"Internet of Things and Extended Reality in Cultural Heritage: A Review on Reconstruction and Restoration, Intelligent Guided Tour, and Immersive Experiences",,NO_PDF,Incluído,,2025-07-07 22:28:26
4TFAVUZS,The Use of Unmanned Aerial Vehicles for Dynamic Site Layout Planning in Large-Scale Construction Projects,,IRRELEVANTE,Excluído,,2025-07-05 19:21:06
R3YCZSZ5,A Transport Monitoring System for Cultural Relics Protection Based on Blockchain and Internet of Things,,COM_PDF,Incluído,,2025-07-17 18:26:52
472DLQ6F,When “Old” Meets “New”: Unlocking the Future of Innovative Technology Implementation in Heritage Tourism,,NO_PDF,Incluído,,2025-07-07 22:35:19
DFIUC2Z4,"A Coordination Analysis on Rural Revitalization and Tourism High-Quality Development Along the Silk Road Economic Belt, China",,SEM APLICACAO,Excluído,,2025-07-05 01:22:38
JQD5NAL8,Integrating Artificial Intelligence and the Internet of Things in Cultural Heritage Preservation: A Systematic Review of Risk Management and Environmental Monitoring Strategies,,COM_PDF,Incluído,,2025-07-17 18:30:08
YAI2GGYC,Emerging Directions and Obstacles in the Digital Transformation of Cultural Heritage,,IRRELEVANTE,Excluído,,2025-07-06 19:57:39
LM754XIG,Applications of 3D Image Using Internet of Things in the Exhibition of Classical Architecture Art Style,,SEM APLICACAO,Excluído,,2025-07-06 20:07:33
CAUL3MJX,Internet of Things in the Archives: Novel Tools for Environmental Monitoring of Archival Collections,,SEM APLICACAO,Excluído,,2025-07-06 19:46:40
N5G98YMM,Review: Development and Technical Design of Tangible User Interfaces in Wide-Field Areas of Application,,SEM APLICACAO,Excluído,,2025-07-05 19:34:26
RMPZ85QB,Development and Sharing of Traditional Cultural and Educational Resources Based on the Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:59:58
WUTPH52F,Tourism Embraces Blockchain Towards the Smart Tourism Era,,NO_PDF,Incluído,,2025-07-17 18:31:36
WX38IZZE,Cultural Heritage and Digital Tools: The Rock Interoperable Platform,,COM_PDF,Incluído,,2025-07-17 18:28:54
BUGUXVXG,Innovative Development of Egg Carving Cultural and Creative Products Using 3D Printing Technology Based on Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:49:14
MEEZWWW7,Interval Type 2 Trapezoidal‐fuzzy Weighted With Zero Inconsistency Combined With VIKOR for Evaluating Smart E‐tourism Applications,,SEM APLICACAO,Excluído,,2025-07-06 19:46:34
552PESFT,Cultural Control Room: CETRA Addresses and Exploits the IoT to Innovate Cultural Heritage Promotion,,COM_PDF,Incluído,,2025-07-17 18:28:52
RPPLIY52,Interval Valued Pythagorean Fuzzy AHP Integrated Model in a Smartness Assessment Framework of Buildings,,SEM APLICACAO,Excluído,,2025-07-06 19:46:26
PC4M2HME,Rockfall Threatening Cumae Archeological Site Fruition (Phlegraean Fields Park—Naples),,IRRELEVANTE,Excluído,,2025-07-05 19:34:14
6MWRFWZZ,Smart ‘Tourist Cities’ Revisited: Culture-Led Urban Sustainability and the Global Real Estate Market,,SEM APLICACAO,Excluído,,2025-07-05 19:33:10
X47F3JDB,Research Hotspots and Trends in Heritage Building Information Modeling: A Review Based on CiteSpace Analysis,,IRRELEVANTE,Excluído,,2025-07-05 19:35:57
PQDRBPT9,Digital Twin: Research Framework to Support Preventive Conservation Policies,,IRRELEVANTE,Excluído,,2025-07-06 19:58:37
Z987RR74,Automated Diagnosing of Eye Disease in Real Time,,IRRELEVANTE,Excluído,,2025-07-06 20:06:35
3DUQFYR6,A Phygital Approach to Cultural Heritage: Augmented Reality at Regaleira,,COM_PDF,Incluído,,2025-07-17 18:26:40
57Z382MG,CACHE: Contextual Approach for Cultural Heritage Enhancing,,COM_PDF,Incluído,,2025-07-17 18:27:33
DFEWSF2F,Analysis of the Current Status of Sensors and HBIM Integration: A Review Based on Bibliometric Analysis,,SEM APLICACAO,Excluído,,2025-07-05 18:59:42
35G354S6,A Novel Data Acquisition System for Obtaining Thermal Parameters of Building Envelopes,,SEM APLICACAO,Excluído,,2025-07-05 01:27:46
UD8L6ERF,Artificial Intelligence in Deep Learning Algorithms for Multimedia Analysis,,SEM APLICACAO,Excluído,,2025-07-06 20:07:14
7XFSVCZY,Satisfaction Among the Elderly Living in the Ancient Town of Xiangxi,,IRRELEVANTE,Excluído,,2025-07-05 19:33:51
XVKL77ST,Edge-Based Transfer Learning for Classroom Occupancy Detection in a Smart Campus Context,,IRRELEVANTE,Excluído,,2025-07-06 19:57:59
D39IBE32,Digital Art Creation and Optimization of Intangible Cultural Heritage Based on Image Processing Algorithm,,COM_PDF,Incluído,,2025-07-17 18:29:10
XUBAMZNV,Revolutionizing Cultural Heritage Preservation: An Innovative IoT-based Framework for Protecting Historical Buildings,,COM_PDF,Incluído,,2025-07-17 18:30:35
CMIAB9D6,Application of Intelligent Internet of Things and Interaction Design in Museum Tour,,COM_PDF,Incluído,,2025-07-17 18:27:07
9BIE823B,Deep Learning and Internet of Things for Tourist Attraction Recommendations in Smart Cities,,IRRELEVANTE,Excluído,,2025-07-06 20:01:18
99K6LXXU,Enhanced Inclusion Through Advanced Immersion in Cultural Heritage: A Holistic Framework in Virtual Museology,,COM_PDF,Incluído,,2025-07-17 18:29:24
P8BFZP4H,Optimizing the Deep Neural Networks by Layer-Wise Refined Pruning and the Acceleration on FPGA,,IRRELEVANTE,Excluído,,2025-07-05 19:39:55
V94LLNFA,Application of Traditional Culture in Modern Cultural and Creative Product Design in the Era of Artificial Intelligence,,SEM APLICACAO,Excluído,,2025-07-06 20:08:45
X7TN2YXW,Internet of Things Based Zigbee Sniffer for Smart and Secure Home,,SEM APLICACAO,Excluído,,2025-07-06 19:46:42
E2N625QW,Using the S‐DIKW Framework to Transform Data Visualization Into Data Storytelling,,SEM APLICACAO,Excluído,,2025-07-05 19:14:25
EAZHAMNX,Nanotechnology‐Enabled Devices for Ocean Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:42:11
2G6UYQSJ,Internet of Things Architecture Challenges: A Systematic Review,,SEM APLICACAO,Excluído,,2025-07-06 19:46:45
NKJIXQDA,Developing a Strategy for Precise 3d Modelling of Large-Scale Scenes for Vr,,IRRELEVANTE,Excluído,,2025-07-06 20:00:11
S3TIUHAD,A Virtual Reality Classroom to Teach and Explore Crystal Solid State Structures,,IRRELEVANTE,Excluído,,2025-07-05 01:33:58
U6N3DL77,Digital Entrepreneurship and Creative Industries in Tourism: A Research Agenda,,IRRELEVANTE,Excluído,,2025-07-06 19:59:46
HJ7ACALG,Digital Management and Optimization of Tourism Information Resources Based on Machine Learning,,RETRATADO,Excluído,,2025-07-06 19:59:32
WAGQ9RIC,A Microservices Architecture Based on a Deep-Learning Approach for an Innovative Fruition of Art and Cultural Heritage,,COM_PDF,Incluído,,2025-07-17 18:26:34
X784SLNX,Internet of Things (IoT) in Smart Tourism: A Literature Review,,COM_PDF,Incluído,,2025-07-17 18:30:15
65YEJ5SV,The Analysis of Tourist Satisfaction Integrating the Artistic Intelligence Convolutional Neural Network and Internet of Things Technology,,SEM APLICACAO,Excluído,,2025-07-05 19:27:14
F2GTXGTH,Special Issue on Toward the Internet of Things of Year 2020: Applications and Future Trends,,IRRELEVANTE,Excluído,,2025-07-05 19:30:01
GS2W39E4,Designing Innovative Digital Solutions in the Cultural Heritage and Tourism Industry: Best Practices for an Immersive User Experience,,COM_PDF,Incluído,,2025-07-17 18:29:08
5IFDQW9F,Landscape Design of Urban Culture Transmission Based on the Regional Information Security of Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:45:26
BCJ8F82U,Building Information Modelling (BIM) Driven Sustainable Cultural Heritage Tourism,,COM_PDF,Incluído,,2025-07-17 18:27:31
CG3FNM4U,Research and Analysis of Smart City Landscape Design and Planning Based on the Internet of Things,,SEM APLICACAO,Excluído,,2025-07-05 19:36:01
CS8NFJ3H,Research on Rural Landscape Spatial Information Recording and Protection Based on 3D Point Cloud Technology Under the Background of Internet of Things,,IRRELEVANTE,Excluído,,2025-07-05 19:35:29
38792F2K,A Study on the Construction and Utilization of Korean Prehistoric Remains Database,,COM_PDF,Incluído,,2025-07-17 18:26:48
XWCUI6EM,Exploring the Role of the Internet of Things in Green Buildings,,IRRELEVANTE,Excluído,,2025-07-06 19:55:15
99ZGQKXG,Integrated Development of Smart City Tourism and Cultural and Creative Industries Based on Internet of Things,,RETRATADO,Excluído,,2025-07-06 19:48:29
5YRIIC9Q,"Cultural Heritage Information Retrieval: Past, Present, and Future Trends",,COM_PDF,Incluído,,2025-07-17 18:28:58
TZC8EW57,Digital Transmission of Intangible Cultural Heritage Based on Empirical Modal Analysis in a Multicultural Perspective,,COM_PDF,Incluído,,2025-07-17 18:29:16
4225BPF3,Mapping the Journey of Internet of Things (IoT) Research: A Bibliometric Analysis of Technology Advancements and Research Focus,,IRRELEVANTE,Excluído,,2025-07-06 19:44:26
9ZFFE3G6,Current Situation and Path of Foreign Minority Language Protection Based on Internet of Things From the Perspective of Ethnic Identity,,IRRELEVANTE,Excluído,,2025-07-06 20:01:34
MDIUXSBU,Application Practice Analysis of Ice and Snow Sports Training Assistance System Based on Internet of Things,,RETRATADO,Excluído,,2025-07-06 20:07:36
4JN3YEIZ,Examining the Impact of Artificial Intelligence and Internet of Things on Smart Tourism Destinations: A Comprehensive Study,,SEM APLICACAO,Excluído,,2025-07-06 19:56:14
EPFAFZPP,Penetration of British and American Culture in English Teaching Under the Background of Intelligent Internet of Things,,IRRELEVANTE,Excluído,,2025-07-05 19:39:31
3X4VAPYY,"A Prototype That Fuses Virtual Reality, Robots, and Social Networks to Create a New Cyber–Physical–Social Eco-Society System for Cultural Heritage",,COM_PDF,Incluído,,2025-07-17 18:26:41
CZ8W9KQL,Preventive Conservation of a Short Theatre Skit (Valencian “Sainete”) With Cloud Data Storage and Internet of Things,,SEM APLICACAO,Excluído,,2025-07-05 19:37:19
YUR92U2X,Digital Preservation of Cultural Heritage and Opportunities Created by the Pandemic Crisis for Bringing New Life to Historical and Cultural Artefacts,,COM_PDF,Incluído,,2025-07-17 18:29:12
6G3QRI63,Application of Internet of Things Audio Technology Based on Parallel Storage System in Music Classroom,,RETRATADO,Excluído,,2025-07-06 20:15:59
FX9DGG76,Digital Restoration of Cultural Heritage With Data-Driven Computing: A Survey,,COM_PDF,Incluído,,2025-07-17 18:29:15
W3PWHVRB,Realization of Urban Perception Art: Painting Expressions of Internet of Things Technologies in Urban Environments,,SEM APLICACAO,Excluído,,2025-07-05 19:36:36
8QHA8MXW,A Review on the Issues and Challenges of Heritage Preservation in the Industry Revolution 4.0,,COM_PDF,Incluído,,2025-07-17 18:26:43
VSJTQSNW,"A Survey on Recommender Systems for Internet of Things: Techniques, Applications and Future Directions",,SEM APLICACAO,Excluído,,2025-07-05 01:32:08
NSSSZ4LS,A Social Internet of Things Smart City Solution for Traffic and Pollution Monitoring in Cagliari,,SEM APLICACAO,Excluído,,2025-07-05 01:30:29
YIMCZ7N3,CollabLearn: An Uncertainty-Aware Crowd-Ai Collaboration System for Cultural Heritage Damage Assessment,,COM_PDF,Incluído,,2025-07-17 18:27:41
KIGW7BQS,"Analysis and Design of Digital Transformation Factors in the Teaching Process of the ""Wise Traditional Music Classroom""",,IRRELEVANTE,Excluído,,2025-07-05 18:59:12
HA58EXY5,Digital Twins and Enabling Technologies in Museums and Cultural Heritage: An Overview,,COM_PDF,Incluído,,2025-07-17 18:29:19
SJFSVAQD,An Oriented H-Bim Approach for the Seismic Assessment of Cultural Heritage Buildings: Palazzo Vecchio in Florence,,COM_PDF,Incluído,,2025-07-17 18:27:04
KR6JEQUM,Empowering Museum Experiences Applying Gamification Techniques Based on Linked Data and Smart Objects,,COM_PDF,Incluído,,2025-07-17 18:29:23
Q7KGS8HU,Interaction Design of Wellness Building Space by Deep Learning and VR Technology in the Context of Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:47:11
RF3IFK9H,The Impact of Sports Event Branding Using Edge Computing on Urban Marketing Under the Background of Internet of Things,,SEM APLICACAO,Excluído,,2025-07-05 19:24:38
MRFLIRZ6,Cultural Heritage Management From Traditional Methods to Digital Systems: A Review From Bim to Digital Twin,,COM_PDF,Incluído,,2025-07-17 18:28:59
NHN2YKJ4,Applications of Additive Manufacturing (AM) in Sustainable Energy Generation and Battle Against COVID-19 Pandemic: The Knowledge Evolution of 3D Printing,,SEM APLICACAO,Excluído,,2025-07-06 20:07:32
XRNZ6L7Z,Application of Digital Mining Facing Information Fusion Technology in the Field of National Costume Culture Design,,COM_PDF,Incluído,,2025-07-17 18:27:06
82Y2M4VV,The Potential of Non-Fungible Tokens (NFTs) in Enhancing Malaysia's Arts and Cultural Heritage Preservation,,COM_PDF,Incluído,,2025-07-17 18:31:17
2G2Z9KB2,Optimizing the Indoor Air Quality in Historical Buildings: Strategies for Environmental Improvement and Public Health Enhancement,,IRRELEVANTE,Excluído,,2025-07-05 19:39:49
YCN735AW,Innovative Methods for the Integration of Marketing Concepts and Art Design in Product Design in the Era of Internet of Things,,IRRELEVANTE,Excluído,,2025-07-06 19:49:06
J2BUHTHL,Preliminary Study of a Mathematical Model for the Creation of a SHM System Against River Flooding,,SEM APLICACAO,Excluído,,2025-07-05 19:37:35
IRITJAQE,Semantic Models and Services for Conservation and Restoration of Cultural Heritage: A Comprehensive Survey,,COM_PDF,Incluído,,2025-07-17 18:30:37
7NF6QXMC,"The Integration of the Internet of Things, Artificial Intelligence, and Blockchain Technology for Advancing the Wine Supply Chain",,SEM APLICACAO,Excluído,,2025-07-05 19:23:22
TAQDEQUF,Structural Health Monitoring and Management of Cultural Heritage Structures: A State-of-the-Art Review,,COM_PDF,Incluído,,2025-07-17 18:30:51
QGDIWGQB,Transformasi Koperasi Menuju Society 5.0 Untuk Meningkatkan Perekonomian Indonesia,,IRRELEVANTE,Excluído,,2025-07-05 19:18:32
9QEI4DP4,The Role of Adaptive Re-Use of Built Heritage Monuments of Jammu and Bundelkhand: (A Systematic Assessment of Conservation and Restoration of Forts and Palaces),,COM_PDF,Incluído,,2025-07-17 18:31:18
IH3GECV7,Cultural Infrastructure and the Planning of Future Cities,,IRRELEVANTE,Excluído,,2025-07-06 20:01:44
MZM8HYI7,[Retracted] New Algorithm of Traditional Chinese Medicine and Protection of Intangible Cultural Heritage Based on Big Data Deep Learning,,RETRATADO,Excluído,,2025-07-05 19:34:44
NXUGGKN6,COVID-19 Resilience via Digital Cultural Heritage; Digital Life in Museums and Festivals During the Anthropause,,IRRELEVANTE,Excluído,,2025-07-06 20:03:19
D579DYX6,Sounds of History: A Digital Twin Approach to Musical Heritage Preservation in Virtual Museums,,COM_PDF,Incluído,,2025-07-17 18:30:50
Y92YS8WM,ARTYCUL: A Privacy-Preserving ML-Driven Framework to Determine the Popularity of a Cultural Exhibit on Display,,IRRELEVANTE,Excluído,,2025-07-06 20:06:58
E3MJK5RB,Co-Opetition and the Industrial Internet of Things: A Strategic Framework for Operational Efficiency in the Portuguese Ornamental Stone Sector,,IRRELEVANTE,Excluído,,2025-07-06 20:04:13
J2I3NFUR,Digitalization as a Tool for Redevelopment – The Finiq Case,,SEM APLICACAO,Excluído,,2025-07-06 19:58:24
DUIGCNW3,Fields Touched by Digitalization: Analysis of Scientific Activity in Scopus,,SEM APLICACAO,Excluído,,2025-07-06 19:54:33
7W83VLRR,Web-Gis Approach to Preventive Conservation of Heritage Buildings,,COM_PDF,Incluído,,2025-07-17 18:32:03
YNQJ53SK,Revealing Time’s Secrets at the National Theatre of Costa Rica via Innovative Software for Cultural Heritage Research,,SEM APLICACAO,Excluído,,2025-07-05 19:34:31
8CDUKAGC,"A Survey of Semantic Web (Web 3.0), Its Applications, Challenges, Future and Its Relation With Internet of Things (IoT)",,SEM APLICACAO,Excluído,,2025-07-05 01:31:56
34MH9DUX,Exploring the Impact of an IoT-based Game on the Experience of Visitors at a Natural Science Museum,,NO_PDF,Incluído,,2025-07-07 22:25:17
BEK7HKMG,Emerging Technologies in Smart Libraries for Visually Impaired People: Challenges and Design Considerations,,IRRELEVANTE,Excluído,,2025-07-06 19:57:35
NGADXS8F,The Convergence of Art and Technology: Insights Into the Intelligent Transformation of Chinese Art Exhibitions,,NO_PDF; COM_PDF,Incluído,,2025-07-17 18:31:09
H5TZTJIR,Evaluating the Impact of Digital Mapping and 3D Imaging Technologies on the Restoration of Historical Sites in Southeast Asia,,COM_PDF,Incluído,,2025-07-17 18:29:26
PUXQPD4D,Construction of Digital Platform of Religious and Cultural Resources Using Deep Learning and Its Big Data Analysis,,RETRATADO,Excluído,,2025-07-06 20:03:35
JR6SUEP5,Integrating Emerging Technologies With Digital Twins for Heritage Building Conservation: An Interdisciplinary Approach With Expert Insights and Bibliometric Analysis,,COM_PDF,Incluído,,2025-07-17 18:30:09
4UZCL3KA,Smart Wearable Technology Integrating Sustainable Materials to Enhance the Quality of Life for Disadvantaged Groups,,SEM APLICACAO,Excluído,,2025-07-05 19:31:19
AFEDNVDF,Conservazione Preventiva Al Museo Di Antropologia E Etnologia Dell'Università Degli Studi Di Firenze,,IDIOMA,Excluído,,2025-07-06 20:03:45
YA9ALXDS,Indoor and Outdoor Structured Monomer Reconstruction of City 3d Real Scene Based on Nonlinear Optimization and Integration of Multi-Source and Multi-Modal Data,,SEM APLICACAO,Excluído,,2025-07-06 19:49:48
KLBIC5V3,"Penggunaan Photogrammetry Sebagai Media Periklanan Untuk Mendukung Pariwisata Dan Sebagai Pelestarian Digital Dari Situs Lama ""Gunung Wudel"" Di Di Desa Potroyudan, Kecamatan Jepara, Kabupaten Jepara",,IRRELEVANTE,Excluído,,2025-07-05 19:39:27
ZB3T2KKG,A BIM-Based Model for Structural Health Monitoring of the Central Body of the Monserrate Palace: A First Approach,,COM_PDF,Incluído,,2025-07-17 18:26:31
PU99Y622,A Systematic Review of Indonesia’s  Heritage Tourism in Perspective of Smart Tourism Conceptual Model,,COM_PDF,Incluído,,2025-07-17 18:26:51
TWFEGS5M,Environmental Art Design Integrating Computing Technology: From the Perspective of Social Innovation and Cultural Sustainability,,IRRELEVANTE,Excluído,,2025-07-06 19:56:39
S42IEW86,Smart Fermentation Technologies: Microbial Process Control in Traditional Fermented Foods,,SEM APLICACAO,Excluído,,2025-07-05 19:32:25
EZUZMLR3,Implementation of 3D IoT Mapping Tourism in Identifying Green Tourism Potential,,IRRELEVANTE,Excluído,,2025-07-06 19:50:21
UC8SBR5L,Systematic Review of Digital Twin Technology and Applications,,IRRELEVANTE,Excluído,,2025-07-05 19:28:07
ENTTUA9T,Integrating Ancient Chinese Feng Shui Philosophy With Smart City Technologies: A Culturally Sustainable Urban Planning Framework for Contemporary China,,IRRELEVANTE,Excluído,,2025-07-06 19:48:22
